person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,N,country,loan_activo
22,38004,RENT,5.0,PERSONAL,B,10000,10.37,0,0.26,N,4,10690,USA,inactivo
22,38004,RENT,3.0,EDUCATION,B,10000,10.75,0,0.26,N,2,10691,USA,inactivo
26,38004,RENT,3.0,MEDICAL,C,10000,13.48,0,0.26,N,3,10692,USA,inactivo
25,32200,RENT,1.0,VENTURE,D,10000,16.77,1,0.31,Y,4,10693,USA,activo
24,38244,RENT,6.0,PERSONAL,A,10000,7.88,0,0.26,N,3,10694,USA,inactivo
23,70000,MORTGAGE,2.0,EDUCATION,A,24000,8.9,0,0.34,N,4,10695,USA,inactivo
23,32400,RENT,7.0,EDUCATION,A,10000,8.49,1,0.31,N,3,10696,USA,activo
21,38400,RENT,5.0,EDUCATION,A,10000,7.66,0,0.26,N,4,10697,USA,inactivo
24,38400,RENT,9.0,DEBTCONSOLIDATION,B,10000,10.38,0,0.26,N,3,10698,USA,inactivo
24,64000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,16000,14.65,1,0.25,N,2,10699,USA,activo
21,32400,RENT,2.0,MEDICAL,C,10000,13.23,1,0.31,N,4,10700,USA,activo
22,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,8000,13.49,0,0.11,Y,2,10701,USA,inactivo
23,70000,MORTGAGE,7.0,VENTURE,A,3500,6.03,0,0.05,N,3,10702,USA,inactivo
24,38700,RENT,2.0,MEDICAL,B,10000,,0,0.26,N,3,10703,USA,inactivo
22,70000,MORTGAGE,6.0,MEDICAL,A,6000,6.03,0,0.09,N,2,10704,USA,inactivo
23,70000,MORTGAGE,7.0,EDUCATION,C,2000,13.49,0,0.03,Y,2,10705,USA,inactivo
26,38832,RENT,0.0,DEBTCONSOLIDATION,B,10000,10.37,0,0.26,N,2,10706,USA,inactivo
22,33000,RENT,6.0,PERSONAL,B,10000,12.42,1,0.3,N,3,10707,USA,activo
25,70000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,11300,14.65,0,0.16,Y,2,10708,USA,inactivo
25,33000,RENT,0.0,VENTURE,C,10000,15.96,1,0.3,Y,3,10709,USA,activo
24,64000,OWN,7.0,VENTURE,E,6100,18.64,1,0.1,Y,4,10710,USA,activo
25,70000,MORTGAGE,9.0,PERSONAL,B,1000,12.69,0,0.01,N,2,10711,USA,inactivo
25,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,15600,11.71,0,0.22,N,3,10712,USA,inactivo
24,70000,MORTGAGE,3.0,EDUCATION,A,7750,6.62,0,0.11,N,3,10713,USA,inactivo
26,64000,MORTGAGE,6.0,DEBTCONSOLIDATION,E,9000,18.64,1,0.14,N,4,10714,USA,activo
22,70000,MORTGAGE,2.0,EDUCATION,A,5000,6.03,0,0.07,N,2,10715,USA,inactivo
26,70000,MORTGAGE,9.0,VENTURE,A,35000,7.9,0,0.5,N,2,10716,USA,inactivo
25,39500,RENT,2.0,MEDICAL,A,10000,5.99,0,0.25,N,2,10717,USA,inactivo
22,39580,RENT,3.0,EDUCATION,B,10000,9.99,0,0.25,N,2,10718,USA,inactivo
22,39600,RENT,5.0,DEBTCONSOLIDATION,B,10000,11.71,0,0.25,N,2,10719,USA,inactivo
22,33948,RENT,4.0,MEDICAL,A,10000,8.32,1,0.29,N,2,10720,USA,activo
26,70000,OWN,10.0,PERSONAL,B,10000,12.42,0,0.14,N,4,10721,USA,inactivo
25,39996,RENT,2.0,VENTURE,B,10000,10.99,0,0.25,N,4,10722,USA,inactivo
23,39996,RENT,8.0,MEDICAL,B,10000,,0,0.25,N,2,10723,USA,inactivo
24,64000,MORTGAGE,7.0,VENTURE,F,4000,20.89,1,0.06,N,2,10724,USA,activo
25,70000,OWN,9.0,HOMEIMPROVEMENT,B,10000,,0,0.14,N,2,10725,USA,inactivo
21,39996,RENT,2.0,EDUCATION,A,10000,8.59,0,0.25,N,4,10726,USA,inactivo
22,70000,MORTGAGE,7.0,EDUCATION,A,2000,7.9,0,0.03,N,3,10727,USA,inactivo
24,70000,MORTGAGE,2.0,MEDICAL,C,10000,13.49,0,0.14,N,4,10728,USA,inactivo
21,40000,RENT,2.0,MEDICAL,B,10000,11.71,0,0.25,N,4,10729,USA,inactivo
24,70000,MORTGAGE,2.0,PERSONAL,A,17000,7.51,0,0.24,N,4,10730,USA,inactivo
22,64000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,14400,11.71,1,0.23,N,2,10731,USA,activo
23,70000,MORTGAGE,,EDUCATION,A,10500,7.51,0,0.15,N,2,10732,USA,inactivo
22,40000,RENT,4.0,EDUCATION,C,10000,14.27,0,0.25,Y,3,10733,USA,inactivo
24,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5000,6.03,0,0.07,N,3,10734,USA,inactivo
22,40000,RENT,2.0,EDUCATION,B,10000,,0,0.25,N,4,10735,USA,inactivo
22,70000,MORTGAGE,4.0,VENTURE,A,5025,,0,0.07,N,2,10736,USA,inactivo
21,70000,MORTGAGE,5.0,MEDICAL,A,7000,6.03,0,0.1,N,3,10737,USA,inactivo
23,70000,MORTGAGE,7.0,EDUCATION,B,16000,,0,0.23,N,4,10738,USA,inactivo
23,40000,RENT,7.0,EDUCATION,C,10000,,0,0.25,N,2,10739,USA,inactivo
23,70000,MORTGAGE,7.0,EDUCATION,A,13000,5.42,0,0.19,N,3,10740,USA,inactivo
24,34000,RENT,1.0,HOMEIMPROVEMENT,B,10000,12.69,1,0.29,N,2,10741,USA,activo
23,40000,RENT,0.0,VENTURE,A,10000,7.9,0,0.25,N,3,10742,USA,inactivo
25,34000,RENT,4.0,PERSONAL,A,10000,6.62,1,0.29,N,4,10743,USA,activo
22,70000,OWN,,VENTURE,A,1250,5.42,0,0.02,N,4,10744,USA,inactivo
21,70000,MORTGAGE,,PERSONAL,D,2500,16.49,0,0.04,N,3,10745,USA,inactivo
24,70000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,7000,9.99,0,0.1,N,4,10746,USA,inactivo
26,40000,RENT,10.0,VENTURE,D,10000,16.89,0,0.25,N,3,10747,USA,inactivo
23,54400,MORTGAGE,0.0,MEDICAL,D,12000,15.62,1,0.19,N,3,10748,USA,activo
24,40000,RENT,5.0,DEBTCONSOLIDATION,B,10000,11.99,0,0.25,N,3,10749,USA,inactivo
24,64000,MORTGAGE,8.0,PERSONAL,A,14500,5.42,1,0.23,N,2,10750,USA,activo
25,70000,MORTGAGE,6.0,VENTURE,A,14000,5.42,0,0.2,N,3,10751,USA,inactivo
25,70000,MORTGAGE,1.0,VENTURE,A,4800,6.99,0,0.07,N,4,10752,USA,inactivo
24,40000,RENT,0.0,PERSONAL,A,10000,8.49,0,0.25,N,3,10753,USA,inactivo
22,70000,MORTGAGE,6.0,EDUCATION,A,9750,8.49,0,0.14,N,4,10754,USA,inactivo
22,34000,RENT,0.0,MEDICAL,D,10000,15.28,1,0.29,Y,3,10755,USA,activo
23,70000,MORTGAGE,3.0,VENTURE,A,15000,8.49,0,0.21,N,2,10756,USA,inactivo
22,40000,RENT,7.0,EDUCATION,B,10000,10.37,0,0.25,N,2,10757,USA,inactivo
24,40000,RENT,0.0,MEDICAL,A,10000,5.79,0,0.25,N,2,10758,USA,inactivo
25,40000,RENT,6.0,MEDICAL,B,10000,10.0,0,0.25,N,4,10759,USA,inactivo
23,34000,RENT,7.0,EDUCATION,B,10000,10.36,1,0.29,N,4,10760,USA,activo
21,40000,RENT,5.0,EDUCATION,A,10000,,0,0.25,N,2,10761,USA,inactivo
23,40000,RENT,3.0,EDUCATION,B,10000,10.75,0,0.25,N,4,10762,USA,inactivo
24,70000,MORTGAGE,2.0,EDUCATION,C,6000,15.23,0,0.09,N,4,10763,USA,inactivo
25,70000,MORTGAGE,3.0,MEDICAL,A,8000,6.99,0,0.11,N,4,10764,USA,inactivo
24,40000,RENT,5.0,PERSONAL,A,10000,7.88,0,0.25,N,3,10765,USA,inactivo
26,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,4000,8.49,0,0.06,N,2,10766,USA,inactivo
22,70000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,4500,5.42,0,0.06,N,2,10767,USA,inactivo
26,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8000,,0,0.11,N,2,10768,USA,inactivo
22,40000,RENT,2.0,EDUCATION,A,10000,7.14,0,0.25,N,4,10769,USA,inactivo
21,40000,RENT,5.0,VENTURE,A,10000,7.51,0,0.25,N,4,10770,USA,inactivo
26,34000,RENT,5.0,VENTURE,C,10000,13.11,1,0.29,Y,3,10771,USA,activo
22,70000,MORTGAGE,1.0,EDUCATION,A,8000,7.49,0,0.11,N,3,10772,USA,inactivo
25,40000,RENT,6.0,VENTURE,C,10000,13.48,0,0.25,N,3,10773,USA,inactivo
24,40000,RENT,3.0,VENTURE,A,10000,,0,0.25,N,2,10774,USA,inactivo
23,40000,RENT,5.0,DEBTCONSOLIDATION,C,10000,13.22,0,0.25,Y,4,10775,USA,inactivo
25,40000,RENT,0.0,EDUCATION,B,10000,12.18,0,0.25,N,3,10776,USA,inactivo
22,70000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,5.42,0,0.09,N,2,10777,USA,inactivo
22,40000,RENT,6.0,MEDICAL,B,10000,12.21,0,0.25,N,2,10778,USA,inactivo
23,70000,MORTGAGE,4.0,PERSONAL,B,25000,10.59,0,0.36,N,3,10779,USA,inactivo
23,70000,MORTGAGE,5.0,MEDICAL,C,10000,14.79,0,0.14,Y,2,10780,USA,inactivo
22,70000,MORTGAGE,6.0,MEDICAL,B,2000,11.49,0,0.03,N,4,10781,USA,inactivo
22,70000,MORTGAGE,6.0,VENTURE,B,6000,11.49,0,0.09,N,2,10782,USA,inactivo
26,40000,RENT,2.0,EDUCATION,A,10000,9.63,0,0.25,N,4,10783,USA,inactivo
23,40000,RENT,4.0,DEBTCONSOLIDATION,C,10000,12.84,0,0.25,N,4,10784,USA,inactivo
22,34000,RENT,2.0,EDUCATION,D,10000,,1,0.29,Y,3,10785,USA,activo
25,70000,OWN,4.0,PERSONAL,A,4000,7.42,0,0.06,N,2,10786,USA,inactivo
25,34000,RENT,0.0,HOMEIMPROVEMENT,C,10000,13.79,1,0.29,Y,4,10787,USA,activo
22,70000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,8400,6.99,0,0.12,N,4,10788,USA,inactivo
22,40000,RENT,0.0,EDUCATION,A,10000,8.0,0,0.25,N,4,10789,USA,inactivo
25,70000,MORTGAGE,9.0,MEDICAL,A,10000,5.42,0,0.14,N,4,10790,USA,inactivo
24,70000,OWN,,PERSONAL,A,6000,5.42,0,0.09,N,2,10791,USA,inactivo
24,70000,MORTGAGE,4.0,EDUCATION,B,21000,11.99,0,0.3,N,4,10792,USA,inactivo
24,41000,RENT,4.0,EDUCATION,A,10000,6.99,0,0.24,N,4,10793,USA,inactivo
22,70000,MORTGAGE,6.0,EDUCATION,A,6800,,0,0.1,N,4,10794,USA,inactivo
24,41004,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.14,0,0.24,N,2,10795,USA,inactivo
22,64000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6000,,1,0.09,N,2,10796,USA,activo
25,70000,MORTGAGE,9.0,VENTURE,B,20000,10.59,0,0.29,N,2,10797,USA,inactivo
23,70000,MORTGAGE,,EDUCATION,B,2500,11.99,0,0.04,N,2,10798,USA,inactivo
24,70000,MORTGAGE,8.0,MEDICAL,B,1600,10.99,0,0.02,N,3,10799,USA,inactivo
23,42000,RENT,4.0,VENTURE,C,10000,,0,0.24,N,2,10800,USA,inactivo
23,70000,OWN,0.0,EDUCATION,B,3600,10.59,0,0.05,N,4,10801,USA,inactivo
22,36000,RENT,0.0,VENTURE,C,10000,15.27,1,0.28,N,2,10802,USA,activo
22,42000,RENT,1.0,EDUCATION,B,10000,12.42,0,0.24,N,4,10803,USA,inactivo
22,42000,RENT,1.0,EDUCATION,C,10000,13.49,0,0.24,Y,4,10804,USA,inactivo
25,42000,RENT,9.0,MEDICAL,C,10000,14.27,0,0.24,N,2,10805,USA,inactivo
25,42000,RENT,5.0,EDUCATION,C,10000,12.99,0,0.24,Y,2,10806,USA,inactivo
22,70000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,7.29,0,0.14,N,3,10807,USA,inactivo
23,42000,RENT,4.0,PERSONAL,A,10000,5.42,0,0.24,N,3,10808,USA,inactivo
23,42000,RENT,0.0,MEDICAL,B,10000,,0,0.24,N,4,10809,USA,inactivo
22,70000,MORTGAGE,6.0,VENTURE,B,2000,10.74,0,0.03,N,2,10810,USA,inactivo
22,42000,RENT,6.0,PERSONAL,C,10000,,0,0.24,Y,4,10811,USA,inactivo
22,42000,RENT,4.0,EDUCATION,B,10000,10.99,0,0.24,N,4,10812,USA,inactivo
22,42000,RENT,3.0,EDUCATION,A,10000,6.92,0,0.24,N,2,10813,USA,inactivo
26,70000,MORTGAGE,5.0,MEDICAL,C,4800,,0,0.07,Y,4,10814,USA,inactivo
24,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,25000,,0,0.36,N,3,10815,USA,inactivo
23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3500,5.42,0,0.05,N,2,10816,USA,inactivo
26,42000,RENT,1.0,MEDICAL,A,10000,6.54,0,0.24,N,4,10817,USA,inactivo
22,42000,RENT,6.0,DEBTCONSOLIDATION,A,10000,6.17,0,0.24,N,3,10818,USA,inactivo
22,42000,RENT,3.0,PERSONAL,C,10000,13.98,0,0.24,N,2,10819,USA,inactivo
22,36000,RENT,4.0,PERSONAL,B,10000,11.36,1,0.28,N,2,10820,USA,activo
25,70000,MORTGAGE,4.0,VENTURE,B,6300,10.37,0,0.09,N,4,10821,USA,inactivo
25,42000,RENT,1.0,VENTURE,B,10000,10.99,0,0.24,N,2,10822,USA,inactivo
24,42000,RENT,2.0,EDUCATION,A,10000,7.88,0,0.24,N,3,10823,USA,inactivo
26,42900,RENT,3.0,PERSONAL,D,10000,,0,0.23,N,3,10824,USA,inactivo
24,70000,MORTGAGE,7.0,MEDICAL,B,25000,,0,0.36,N,2,10825,USA,inactivo
25,42910,RENT,3.0,EDUCATION,D,10000,18.25,0,0.23,Y,3,10826,USA,inactivo
25,70000,MORTGAGE,6.0,MEDICAL,B,12000,10.37,0,0.17,N,4,10827,USA,inactivo
25,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,4000,6.92,0,0.06,N,2,10828,USA,inactivo
21,43000,RENT,3.0,PERSONAL,C,10000,,0,0.23,N,4,10829,USA,inactivo
26,70000,MORTGAGE,10.0,PERSONAL,B,8000,10.0,0,0.11,N,2,10830,USA,inactivo
26,43000,RENT,4.0,EDUCATION,C,10000,14.65,0,0.23,N,4,10831,USA,inactivo
22,70000,MORTGAGE,5.0,VENTURE,C,8000,13.35,0,0.11,Y,2,10832,USA,inactivo
23,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,3525,6.91,0,0.05,N,3,10833,USA,inactivo
24,43000,RENT,8.0,EDUCATION,A,10000,5.79,0,0.23,N,2,10834,USA,inactivo
25,43000,RENT,4.0,EDUCATION,A,10000,7.66,0,0.23,N,3,10835,USA,inactivo
24,43000,RENT,4.0,MEDICAL,B,10000,9.63,0,0.23,N,3,10836,USA,inactivo
21,70000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6000,5.42,0,0.09,N,3,10837,USA,inactivo
23,43000,RENT,1.0,EDUCATION,B,10000,9.25,0,0.23,N,3,10838,USA,inactivo
24,43000,RENT,2.0,MEDICAL,C,10000,13.16,0,0.23,N,4,10839,USA,inactivo
22,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,10000,10.36,0,0.14,N,2,10840,USA,inactivo
24,70000,MORTGAGE,8.0,VENTURE,B,25000,9.62,0,0.36,N,2,10841,USA,inactivo
22,37200,RENT,6.0,PERSONAL,B,10000,,1,0.27,N,2,10842,USA,activo
22,70000,OWN,3.0,MEDICAL,A,8000,5.79,0,0.11,N,3,10843,USA,inactivo
22,44000,RENT,6.0,MEDICAL,B,10000,10.65,0,0.23,N,4,10844,USA,inactivo
22,70000,MORTGAGE,5.0,VENTURE,B,21000,8.88,0,0.3,N,3,10845,USA,inactivo
25,70000,MORTGAGE,9.0,PERSONAL,A,12000,5.79,0,0.17,N,2,10846,USA,inactivo
24,44000,RENT,2.0,PERSONAL,A,10000,7.49,0,0.23,N,2,10847,USA,inactivo
23,70000,MORTGAGE,7.0,EDUCATION,A,20000,6.17,0,0.29,N,2,10848,USA,inactivo
24,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,11000,,0,0.16,N,3,10849,USA,inactivo
25,44000,RENT,9.0,MEDICAL,C,10000,12.68,0,0.23,Y,4,10850,USA,inactivo
26,70000,MORTGAGE,3.0,MEDICAL,B,3200,9.25,0,0.05,N,4,10851,USA,inactivo
22,44000,RENT,5.0,EDUCATION,D,10000,15.95,0,0.23,N,4,10852,USA,inactivo
21,44000,RENT,6.0,PERSONAL,D,10000,14.74,0,0.23,N,4,10853,USA,inactivo
23,44160,RENT,4.0,EDUCATION,C,10000,14.27,0,0.23,Y,3,10854,USA,inactivo
23,44796,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.48,0,0.22,N,2,10855,USA,inactivo
23,70000,OWN,,VENTURE,A,11000,7.14,0,0.16,N,4,10856,USA,inactivo
26,64000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,7000,15.95,1,0.11,N,2,10857,USA,activo
21,45000,RENT,5.0,VENTURE,A,10000,6.62,0,0.22,N,4,10858,USA,inactivo
25,45000,RENT,4.0,MEDICAL,B,10000,12.69,0,0.22,N,2,10859,USA,inactivo
22,45000,RENT,4.0,EDUCATION,B,10000,10.65,0,0.22,N,3,10860,USA,inactivo
25,70000,MORTGAGE,5.0,PERSONAL,A,8000,7.88,0,0.11,N,4,10861,USA,inactivo
24,45000,RENT,2.0,PERSONAL,A,10000,6.62,0,0.22,N,3,10862,USA,inactivo
24,64000,MORTGAGE,8.0,EDUCATION,A,5000,7.88,1,0.08,N,4,10863,USA,activo
23,70000,MORTGAGE,7.0,EDUCATION,B,4000,,0,0.06,N,4,10864,USA,inactivo
26,70000,MORTGAGE,4.0,EDUCATION,C,4000,13.98,0,0.06,Y,4,10865,USA,inactivo
26,45000,RENT,2.0,PERSONAL,C,10000,,0,0.22,N,3,10866,USA,inactivo
22,45000,RENT,6.0,MEDICAL,B,10000,9.91,0,0.22,N,2,10867,USA,inactivo
24,70000,MORTGAGE,6.0,VENTURE,A,6000,7.88,0,0.09,N,3,10868,USA,inactivo
25,70000,MORTGAGE,9.0,PERSONAL,A,12000,7.51,0,0.17,N,4,10869,USA,inactivo
23,45000,RENT,7.0,EDUCATION,A,10000,6.62,0,0.22,N,4,10870,USA,inactivo
26,70000,MORTGAGE,3.0,EDUCATION,C,3500,14.35,0,0.05,N,3,10871,USA,inactivo
23,70000,OWN,7.0,EDUCATION,C,16000,14.35,0,0.23,N,3,10872,USA,inactivo
22,70000,MORTGAGE,4.0,VENTURE,B,13750,10.75,0,0.2,N,3,10873,USA,inactivo
22,45000,RENT,2.0,EDUCATION,A,10000,7.51,0,0.22,N,3,10874,USA,inactivo
23,39000,RENT,3.0,PERSONAL,B,10000,11.99,1,0.26,N,3,10875,USA,activo
23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4400,6.76,0,0.06,N,4,10876,USA,inactivo
26,70000,MORTGAGE,0.0,PERSONAL,D,8000,14.84,0,0.11,N,3,10877,USA,inactivo
22,70000,MORTGAGE,6.0,EDUCATION,D,16000,16.32,0,0.23,Y,2,10878,USA,inactivo
23,70000,MORTGAGE,1.0,PERSONAL,B,5000,11.12,0,0.07,N,3,10879,USA,inactivo
26,70000,MORTGAGE,1.0,VENTURE,B,25000,,0,0.36,N,4,10880,USA,inactivo
25,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,8000,11.12,0,0.11,N,3,10881,USA,inactivo
25,45000,RENT,0.0,VENTURE,C,10000,12.98,0,0.22,Y,2,10882,USA,inactivo
21,70000,MORTGAGE,3.0,EDUCATION,A,9800,7.14,0,0.14,N,4,10883,USA,inactivo
22,70000,MORTGAGE,1.0,MEDICAL,A,8400,7.88,0,0.12,N,2,10884,USA,inactivo
24,70000,OWN,4.0,VENTURE,D,8000,15.95,0,0.11,Y,2,10885,USA,inactivo
23,70000,MORTGAGE,7.0,PERSONAL,A,6000,7.51,0,0.09,N,2,10886,USA,inactivo
23,39000,RENT,2.0,PERSONAL,D,10000,15.2,1,0.26,Y,3,10887,USA,activo
24,45000,RENT,1.0,EDUCATION,A,10000,6.54,0,0.22,N,3,10888,USA,inactivo
24,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,11.36,0,0.17,N,4,10889,USA,inactivo
26,70000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,2500,10.99,0,0.04,N,3,10890,USA,inactivo
22,45000,RENT,4.0,EDUCATION,A,10000,7.51,0,0.22,N,2,10891,USA,inactivo
24,45000,RENT,3.0,DEBTCONSOLIDATION,A,10000,7.51,0,0.22,N,2,10892,USA,inactivo
26,70000,MORTGAGE,10.0,EDUCATION,B,5000,9.88,0,0.07,N,4,10893,USA,inactivo
22,39000,RENT,2.0,PERSONAL,D,10000,16.07,1,0.26,Y,2,10894,USA,activo
26,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,D,10000,,0,0.14,N,4,10895,USA,inactivo
22,70000,MORTGAGE,6.0,EDUCATION,A,6000,7.14,0,0.09,N,4,10896,USA,inactivo
25,70000,OWN,4.0,HOMEIMPROVEMENT,D,12000,14.59,0,0.17,N,2,10897,USA,inactivo
26,70000,MORTGAGE,5.0,PERSONAL,A,4500,7.51,0,0.06,N,4,10898,USA,inactivo
22,45000,RENT,3.0,PERSONAL,E,10000,17.93,0,0.22,Y,2,10899,USA,inactivo
21,45000,RENT,3.0,EDUCATION,B,10000,10.25,0,0.22,N,2,10900,USA,inactivo
24,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,16000,10.62,0,0.23,N,2,10901,USA,inactivo
24,70000,MORTGAGE,1.0,VENTURE,B,25000,10.62,0,0.36,N,2,10902,USA,inactivo
24,70000,MORTGAGE,2.0,PERSONAL,E,12000,17.56,0,0.17,Y,3,10903,USA,inactivo
24,70000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,4800,11.36,0,0.07,N,2,10904,USA,inactivo
24,45000,RENT,0.0,VENTURE,C,10000,13.11,0,0.22,Y,4,10905,USA,inactivo
25,70000,MORTGAGE,9.0,MEDICAL,C,12800,13.11,0,0.18,Y,4,10906,USA,inactivo
22,70000,MORTGAGE,6.0,MEDICAL,B,11000,11.36,0,0.16,N,3,10907,USA,inactivo
24,70000,MORTGAGE,8.0,VENTURE,A,6000,7.88,0,0.09,N,3,10908,USA,inactivo
25,45000,RENT,3.0,MEDICAL,C,10000,12.87,0,0.22,Y,3,10909,USA,inactivo
22,39000,RENT,3.0,EDUCATION,D,10000,,1,0.26,Y,3,10910,USA,activo
21,45000,RENT,5.0,EDUCATION,B,10000,,0,0.22,N,2,10911,USA,inactivo
24,39000,RENT,1.0,DEBTCONSOLIDATION,D,10000,14.11,1,0.26,N,3,10912,USA,activo
25,45000,RENT,1.0,DEBTCONSOLIDATION,B,10000,11.89,0,0.22,N,3,10913,USA,inactivo
26,70000,MORTGAGE,0.0,EDUCATION,A,7000,7.88,0,0.1,N,4,10914,USA,inactivo
25,70000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,14000,10.25,0,0.2,N,4,10915,USA,inactivo
23,70000,MORTGAGE,5.0,PERSONAL,A,3000,7.51,0,0.04,N,4,10916,USA,inactivo
23,70000,MORTGAGE,1.0,VENTURE,B,10000,10.99,0,0.14,N,4,10917,USA,inactivo
26,45000,RENT,4.0,MEDICAL,D,10000,14.11,0,0.22,Y,2,10918,USA,inactivo
24,70000,OWN,0.0,EDUCATION,B,15000,12.18,0,0.21,N,2,10919,USA,inactivo
25,70000,OWN,9.0,HOMEIMPROVEMENT,A,5000,8.59,0,0.07,N,3,10920,USA,inactivo
23,23000,RENT,0.0,PERSONAL,B,4325,11.11,0,0.19,N,3,10921,USA,inactivo
23,48000,RENT,1.0,VENTURE,A,4325,5.42,0,0.09,N,4,10922,USA,inactivo
25,23000,RENT,4.0,MEDICAL,B,4300,11.86,0,0.19,N,3,10923,USA,inactivo
24,30000,RENT,1.0,MEDICAL,B,4300,9.63,0,0.14,N,4,10924,USA,inactivo
22,52000,RENT,7.0,DEBTCONSOLIDATION,C,4300,,0,0.08,Y,2,10925,USA,inactivo
22,70000,OWN,6.0,MEDICAL,B,12000,12.53,0,0.17,N,2,10926,USA,inactivo
23,108000,RENT,4.0,VENTURE,B,4300,11.83,0,0.04,N,4,10927,USA,inactivo
23,30000,RENT,0.0,EDUCATION,B,4275,11.86,0,0.14,N,4,10928,USA,inactivo
22,27500,RENT,1.0,VENTURE,B,4250,10.99,0,0.15,N,2,10929,USA,inactivo
25,70000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,16000,12.18,0,0.23,N,4,10930,USA,inactivo
24,35000,RENT,8.0,PERSONAL,A,4250,6.99,0,0.12,N,2,10931,USA,inactivo
24,70000,OWN,8.0,PERSONAL,B,24250,12.18,0,0.35,N,2,10932,USA,inactivo
23,45600,RENT,5.0,MEDICAL,C,4250,,0,0.09,Y,2,10933,USA,inactivo
22,50000,RENT,7.0,MEDICAL,B,4250,12.69,0,0.09,N,4,10934,USA,inactivo
23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,11.14,0,0.21,N,4,10935,USA,inactivo
26,70000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,12000,8.94,0,0.17,N,2,10936,USA,inactivo
26,48000,RENT,10.0,PERSONAL,B,4225,9.83,0,0.09,N,2,10937,USA,inactivo
22,70000,MORTGAGE,6.0,PERSONAL,D,25000,15.31,0,0.36,Y,4,10938,USA,inactivo
22,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,15000,13.92,0,0.21,N,2,10939,USA,inactivo
22,45500,RENT,0.0,VENTURE,A,10000,5.99,0,0.22,N,4,10940,USA,inactivo
26,70000,MORTGAGE,1.0,MEDICAL,C,7000,14.26,0,0.1,Y,4,10941,USA,inactivo
24,39600,RENT,7.0,HOMEIMPROVEMENT,B,10000,10.36,1,0.25,N,3,10942,USA,activo
24,70000,MORTGAGE,1.0,EDUCATION,B,9000,11.83,0,0.13,N,3,10943,USA,inactivo
24,70000,MORTGAGE,8.0,VENTURE,A,10000,7.74,0,0.14,N,3,10944,USA,inactivo
22,45600,RENT,5.0,VENTURE,D,10000,14.61,0,0.22,N,4,10945,USA,inactivo
23,45756,RENT,8.0,MEDICAL,A,10000,7.29,0,0.22,N,2,10946,USA,inactivo
26,70000,MORTGAGE,3.0,PERSONAL,C,5400,12.53,0,0.08,N,4,10947,USA,inactivo
26,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,12000,11.26,0,0.17,N,4,10948,USA,inactivo
22,70000,OWN,0.0,MEDICAL,B,15000,11.26,0,0.21,N,3,10949,USA,inactivo
23,70000,MORTGAGE,5.0,EDUCATION,B,20000,12.21,0,0.29,N,4,10950,USA,inactivo
23,70000,MORTGAGE,4.0,VENTURE,C,6000,13.16,0,0.09,N,4,10951,USA,inactivo
22,70000,MORTGAGE,0.0,EDUCATION,D,9600,15.37,0,0.14,N,2,10952,USA,inactivo
22,46200,RENT,0.0,VENTURE,A,10000,7.29,0,0.22,N,3,10953,USA,inactivo
